Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Sales Channel 1,Product Sales Channel 2,Product Sales Channel 3,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price EGP,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Image 1,Variant Image 2,Variant Image 3,Variant Image 4
prod_01KQ86A5EY8W459RQYFEE8XQKP,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KQ86A524G5G1SV3VCNWJ9XJV,sc_01KQ86A5T1Y4WHKTHAQVK9RSP3,sc_01KQ86B853W7GHJ5FTZBX5E73Z,variant_01KQ86A5HT7N7J23PEVKHY01HG,M / White,SHIRT-M-WHITE,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EY8W459RQYFEE8XQKP,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,50000,Size,M,Color,White,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01KQ86A5EY8W459RQYFEE8XQKP,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KQ86A524G5G1SV3VCNWJ9XJV,sc_01KQ86A5T1Y4WHKTHAQVK9RSP3,sc_01KQ86B853W7GHJ5FTZBX5E73Z,variant_01KQ86A5HT8G6NFMESDWCJBMPV,S / White,SHIRT-S-WHITE,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EY8W459RQYFEE8XQKP,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,50000,Size,S,Color,White,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01KQ86A5EY8W459RQYFEE8XQKP,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KQ86A524G5G1SV3VCNWJ9XJV,sc_01KQ86A5T1Y4WHKTHAQVK9RSP3,sc_01KQ86B853W7GHJ5FTZBX5E73Z,variant_01KQ86A5HTGS0RB2TK3HWTKVH8,M / Black,SHIRT-M-BLACK,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EY8W459RQYFEE8XQKP,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,50000,Size,M,Color,Black,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01KQ86A5EY8W459RQYFEE8XQKP,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KQ86A524G5G1SV3VCNWJ9XJV,sc_01KQ86A5T1Y4WHKTHAQVK9RSP3,sc_01KQ86B853W7GHJ5FTZBX5E73Z,variant_01KQ86A5HTK05WW4C7WFR81DJZ,L / Black,SHIRT-L-BLACK,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EY8W459RQYFEE8XQKP,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,50000,Size,L,Color,Black,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01KQ86A5EY8W459RQYFEE8XQKP,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KQ86A524G5G1SV3VCNWJ9XJV,sc_01KQ86A5T1Y4WHKTHAQVK9RSP3,sc_01KQ86B853W7GHJ5FTZBX5E73Z,variant_01KQ86A5HTPDF8TYSG95C78TH3,S / Black,SHIRT-S-BLACK,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EY8W459RQYFEE8XQKP,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,50000,Size,S,Color,Black,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01KQ86A5EY8W459RQYFEE8XQKP,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KQ86A524G5G1SV3VCNWJ9XJV,sc_01KQ86A5T1Y4WHKTHAQVK9RSP3,sc_01KQ86B853W7GHJ5FTZBX5E73Z,variant_01KQ86A5HVMJ61TQJ67W5VRXHX,XL / White,SHIRT-XL-WHITE,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EY8W459RQYFEE8XQKP,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,50000,Size,XL,Color,White,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01KQ86A5EY8W459RQYFEE8XQKP,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KQ86A524G5G1SV3VCNWJ9XJV,sc_01KQ86A5T1Y4WHKTHAQVK9RSP3,sc_01KQ86B853W7GHJ5FTZBX5E73Z,variant_01KQ86A5HVN34K1D8A4PK02F2C,XL / Black,SHIRT-XL-BLACK,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EY8W459RQYFEE8XQKP,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,50000,Size,XL,Color,Black,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01KQ86A5EY8W459RQYFEE8XQKP,t-shirt,Medusa T-Shirt,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KQ86A524G5G1SV3VCNWJ9XJV,sc_01KQ86A5T1Y4WHKTHAQVK9RSP3,sc_01KQ86B853W7GHJ5FTZBX5E73Z,variant_01KQ86A5HVY36KZ36175DB03RR,L / White,SHIRT-L-WHITE,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EY8W459RQYFEE8XQKP,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,50000,Size,L,Color,White,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
prod_01KQ86A5EYBH10ZV7S7J3BGXMN,sweatpants,Medusa Sweatpants,,published,,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,sc_01KQ86A524G5G1SV3VCNWJ9XJV,,,variant_01KQ86A5HW4A7ZWDN7KTZFN2J5,XL,SWEATPANTS-XL,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EYBH10ZV7S7J3BGXMN,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,60000,Size,XL,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,
prod_01KQ86A5EYBH10ZV7S7J3BGXMN,sweatpants,Medusa Sweatpants,,published,,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,400,,,,,,,,Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:58 GMT+0300 (Eastern European Summer Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,sc_01KQ86A524G5G1SV3VCNWJ9XJV,,,variant_01KQ86A5HWEMQBVG0F13138331,L,SWEATPANTS-L,,,,false,false,,,,,,,,,,0,,prod_01KQ86A5EYBH10ZV7S7J3BGXMN,Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),Mon Apr 27 2026 22:22:59 GMT+0300 (Eastern European Summer Time),,60000,Size,L,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,
